GlobalID,ElementName,AltName,Definition,Format,HasOptionSet,UsageNotes,URL,Version,TermID,ChangedInThisVersionInd,ChangeNotes,TechnicalName,TableName,Domain
349,Continuing License Date,,The year," month and day on which a program or center received its continuing license.",YYYY-MM-DD,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19348,10,19348,,ContinuingLicenseDate,,
350,License Exempt,,The program or center is legally exempt from licensing.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19349,10,19349,,,LicenseExempt,,
351,Operation Date,,The year," month and day on which a program or center began operation.",YYYY-MM-DD,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19350,10,19350,,OperationDate,,
353,Service Option Variation,,Nature of early childhood program," class or group in which a person is enrolled.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19352,10,19352,,ServiceOptionVariation,,
354,Hours Available Per Day,,The number of hours per day the site or classroom is open for children to attend.,Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19353,10,19353,,,HoursAvailablePerDay,,
355,Days Available Per Week,,The number of days per week the site or classroom is open for children to attend.,Integer - greater than or equal to 0,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19354,10,19354,,,DaysAvailablePerWeek,,
356,Early Childhood Setting,,The site or setting in which  early childhood care," education"," and/or services are provided.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19355,10,19355,EarlyChildhoodSetting,,
357,Quality Rating and Improvement System Participation,QRIS Participation,Program site participates in a Quality Rating and Improvement System (QRIS).,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19356,10,19356,,,QRISParticipation,,
358,Quality Rating and Improvement System Score,QRIS Score,The score," rating or level received by a program for its Quality Rating and Improvement System (QRIS).",Alphanumeric - 45 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19357,10,19357,,QRISScore,,
10,Address Type for Learner or Family,,The type of address listed for a learner or a parent," guardian"," family member or related person.",Alphanumeric - 30 characters maximum,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19358,10,19358,AddressTypeForLearnerOrFamily,,
361,Enrollment in Postsecondary Award Type,,An indicator of the award level in which the person is currently enrolled.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19360,10,19360,,,EnrollmentInPostsecondaryAwardType,,
362,Instructional Activity Hours Completed,,The number of credit hours and/or contact hours successfully completed by a person during a term.,Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19361,10,19361,,,InstructionalActivityHoursCompleted,,
363,Financial Aid Award Status,,An indication of whether the financial aid type being reported is aid that has been awarded," accepted or dispersed.",,TRUE,Linked to financial aid type," financial aid amount.   &lt;BR/&gt;Note:  For any given individual this field may be repeated multiple times.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19362,10,19362,FinancialAidAwardStatus,,
366,Assessment Form Number,,The number of a given assessment form.,Alphanumeric - 30 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19365,10,19365,,,AssessmentFormNumber,,
367,Assessment Subtest Identifier,,A unique number or alphanumeric code assigned to an assessment subtest.,Alphanumeric - 40 characters maximum,FALSE,"CEDS ""Identifier"" elements reflect the intent of the XSD:Token format"," i.e. a string in which carriage return"," line feed"," and tab characters have been removed as well as any internal sequences of two or more spaces and any leading or trailing spaces. &lt;br/&gt;&lt;br/&gt;An Identifier MAY be a Universally Unique Identifier (UUID) / Globally Unique Identifier (GUID)"," i.e.128-bit unique identifiers generated according to the algorithms and encoding standards of RFC 4122.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19366,AssessmentSubtestIdentifier,,
368,Assessment Subtest Abbreviation,,The shortened name identifying the assessment for use in reference and/or reports.,Alphanumeric - 30 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19367,10,19367,,,AssessmentSubtestAbbreviation,,
369,Assessment Score Metric Type,,The specific method used to report the performance and achievement of the assessment. This is the metric that is being used to derive the scores.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19368,10,19368,,,AssessmentScoreMetricType,,
370,Instructional Recommendation,,This provides the next steps for instruction for the student based upon the assessment results and student characteristics.,Alphanumeric - 100 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19369,10,19369,,,InstructionalRecommendation,,
371,Assessment Participant Session Language,,The language that the assessment is administered.,,TRUE,"The CEDS ISO 639-2 Language Code option set comes from the &lt;a href=""http://www.loc.gov/standards/iso639-2/langhome.html""&gt;ISO 639-2 standard&lt;/a&gt;"," the character encoding in ISO 8859-1 download.  Discontinued codes from the ISO standard are not included in the CEDS list.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19370,10,19370,,AssessmentParticipantSessionLanguage,,
382,Assessment Objective,,This is the objective that the assessment is measuring.,Alphanumeric - 100 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19373,10,19373,,,AssessmentObjective,,
383,Assessment Accommodation Category,,A category of accommodations needed for a given assessment.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19374,10,19374,,,AssessmentAccommodationCategory,,
384,Assessment Secure Indicator,,Indicates whether or not the assessment is a secure assessment.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19375,10,19375,,,AssessmentSecureIndicator,,
385,Accommodation Type,,The specific accommodation necessary for assessment or instruction.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19376,10,19376,,,AccommodationType,,
386,Assessment Participant Session Platform Type,,The platform with which the assessment was delivered to the student during the assessment session.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19377,10,19377,,,AssessmentParticipantSessionPlatformType,,
388,Assessment Subtest Version,,The version of the subtest that is included for the assessment.,Alphanumeric - 30 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19379,10,19379,,,AssessmentSubtestVersion,,
389,Assessment Session Special Circumstance Type,,An unusual event occurred during the administration of the assessment. This could include fire alarm," student became ill"," etc.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19380,10,19380,AssessmentSessionSpecialCircumstanceType,,
390,Assessment Item Type,,The specific type of assessment item.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19382,10,19382,,,AssessmentItemType,,
391,Assessment Item Difficulty,,The percentage of students who answered the item correctly during trial testing of the item.,Numeric - up to 3 digits before and 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19383,10,19383,,,AssessmentItemDifficulty,,
392,Assessment Item Characteristic Type,,The type of psychometric measure provided for assessment item.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19384,10,19384,,,AssessmentItemCharacteristicType,,
393,Assessment Item Response Choice Pattern,,The distribution of responses for each choice in the assessment item.,Alphanumeric - 100 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19385,10,19385,,,AssessmentItemResponseChoicePattern,,
395,Assessment Subtest Minimum Value,,The minimum value possible for the measurement.,Alphanumeric - 30 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19387,10,19387,,,AssessmentSubtestMinimumValue,,
396,Assessment Subtest Maximum Value,,The maximum value for the measurement.,Alphanumeric - 30 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19388,10,19388,,,AssessmentSubtestMaximumValue,,
397,Assessment Subtest Optimal Value,,The optimal value for this measurement.,Alphanumeric - 30 characters maximum,FALSE,The Optimal Value may be the same as the Maximum Value," the Minimum Value"," or something in between.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19389,10,19389,AssessmentSubtestScaleOptimalValue,,
398,Assessment Item Distractor Analysis,,The analysis of the distractors provided for a specific assessment.,Alphanumeric - 100 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19390,10,19390,,,AssessmentItemDistractorAnalysis,,
400,Assessment Item Stem,,The statement of the question or prompt for an Assessment Item to which the student responds.,Alphanumeric,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19392,10,19392,,,AssessmentItemStem,,
402,Assessment Item Response Duration,,The total amount of time in seconds or milliseconds  that a person spent responding to a given assessment item.,HH:MM:SS or HH:MM:SS.sss,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19394,10,19394,,,AssessmentItemResponseDuration,,
403,Assessment Item Allotted Time,,The amount of time allotted for a specific item.,HH:MM:SS,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19395,10,19395,,,AssessmentItemAllottedTime,,
405,Assessment Item Response Status,,The status of the response for a given item.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19396,10,19396,,,AssessmentItemResponseStatus,,
406,Assessment Item Response Aid Set Used,,A tool or aid set used while viewing the item. This can include things like a calculator," reference tools"," etc.",Alphanumeric - 30 characters maximum,FALSE,This a permissible set of tools suggested for use for successful completion of a test question," not an accommodation.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19397,10,AssessmentItemResponseAidSetUsed,,
407,Assessment Participant Session Time Assessed,,The overall time a learner actually spent during the  assessment session.,Alphanumeric - 30 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19398,10,19398,,,AssessmentParticipantSessionTimeAssessed,,
408,Assessment Session Allotted Time,,The duration of time allotted for the assessment session.,HH:MM:SS or HH:MM:SS.sss,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19399,10,19399,,,AssessmentSessionAllottedTime,,
410,Assessment Session Administrator Identifier,,The unique identifier of the person overseeing the administration of an assessment. This is typically at a district or school level or at an administrator at a testing facility.,Alphanumeric - 40 characters maximum,FALSE,"CEDS ""Identifier"" elements reflect the intent of the XSD:Token format"," i.e. a string in which carriage return"," line feed"," and tab characters have been removed as well as any internal sequences of two or more spaces and any leading or trailing spaces. &lt;br/&gt;&lt;br/&gt;An Identifier MAY be a Universally Unique Identifier (UUID) / Globally Unique Identifier (GUID)"," i.e.128-bit unique identifiers generated according to the algorithms and encoding standards of RFC 4122.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19400,AssessmentSessionAdministratorIdentifier,,
411,Assessment Session Proctor Identifier,,The unique identifier of the person overseeing the assessment session in the setting.,Alphanumeric - 40 characters maximum,FALSE,This could be the identifier for a teacher," a paraprofessional or individual at a testing site.&lt;br/&gt;&lt;br/&gt;CEDS ""Identifier"" elements reflect the intent of the XSD:Token format"," i.e. a string in which carriage return"," line feed"," and tab characters have been removed as well as any internal sequences of two or more spaces and any leading or trailing spaces. &lt;br/&gt;&lt;br/&gt;An Identifier MAY be a Universally Unique Identifier (UUID) / Globally Unique Identifier (GUID)"," i.e.128-bit unique identifiers generated according to the algorithms and encoding standards of RFC 4122.",AssessmentSessionProctorIdentifier,,
415,Assessment Type Administered to Children with Disabilities,,The types of assessments administered to children with disabilities.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19405,10,19405,,,AssessmentTypeAdministeredToChildrenWithDisabilities,,
417,Assessment Performance Level Score Metric,,The metric or scale used for score reporting.,Alphanumeric - 30 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19407,10,19407,,,AssessmentPerformanceLevelScoreMetric,,
418,Assessment Performance Level Lower Cut Score,,Lowest possible score for the performance level.,Alphanumeric - 30 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19408,10,19408,,,AssessmentPerformanceLevelLowerCutScore,,
419,Assessment Performance Level Upper Cut Score,,Highest possible score for the performance level.,Alphanumeric - 30 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19409,10,19409,,,AssessmentPerformanceLevelUpperCutScore,,
421,Rubric Title,,The title of the rubric.,Alphanumeric - 30 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19411,10,19411,,,AssessmentRubricTitle,,
422,Rubric Identifier,,An identifier assigned to a rubric.,Alphanumeric - 40 characters maximum,FALSE,"CEDS ""Identifier"" elements reflect the intent of the XSD:Token format"," i.e. a string in which carriage return"," line feed"," and tab characters have been removed as well as any internal sequences of two or more spaces and any leading or trailing spaces. &lt;br/&gt;&lt;br/&gt;An Identifier MAY be a Universally Unique Identifier (UUID) / Globally Unique Identifier (GUID)"," i.e.128-bit unique identifiers generated according to the algorithms and encoding standards of RFC 4122.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19412,AssessmentRubricIdentifier,,
423,Rubric URL Reference,,The URL location where the rubric may be found.,Alphanumeric - 512 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19413,10,19413,,,AssessmentRubricURLReference,,
424,State ANSI Code,,The American National Standards Institute (ANSI) two-digit code for the state.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19414,10,19414,,,StateANSICode,,
425,Person Relationship Type,,The nature of a person's relationship to another person.,,TRUE,For implementation in the CEDS Integrated Data Store (IDS)," the ""person"" in the description would be the person referred to in the PersonId column in the IDS. The ""related person"" in the description would be the person referred to in the ""RelatedPersonId"" in the IDS. Example: Foster mother - The person (PersonId) is the related person's (RelatedPersonId) Foster mother.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19415,10,19415,,PersonRelationshipType,,
426,City of Birth,," The name of the city in which a person was born.",Alphanumeric - 30 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19416,10,19416,,,CityOfBirth,,
427,State of Birth Abbreviation,,The abbreviation for the name of the state (within the United States) or extra-state jurisdiction in which a person was born.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19417,10,19417,,,StateOfBirthAbbreviation,,
428,Birthdate Verification,,The evidence by which a child's date of birth is confirmed.,Alphanumeric - 60 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19418,10,19418,,,BirthdateVerification,,
429,Continuation of Services Reason,,Reason why the student is being served under the continuation of services provision of the MEP.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19419,10,19419,,,ContinuationOfServicesReason,,
430,Migrant Education Program Eligibility Expiration Date,MEP Eligibility Expiration Date,The year," month"," and day on which the child is no longer eligible for the Migrant Education Program. This date should initially be a date equal to 36 months from the Qualifying Arrival Date to indicate the end of MEP eligibility or the student reaches 22 years of age"," whichever comes first.",YYYY-MM-DD,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19420,10,MigrantEducationProgramEligibilityExpirationDate,,
431,Multiple Birth Indicator,,An indication that the person is a twin," triplet"," etc.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19421,10,19421,MultipleBirthIndicator,,
432,Migrant Student Qualifying Arrival Date,,The qualifying arrival date (QAD) is the month," date"," and year that the child completed a move with his or her parent to enable the parent to find qualifying employment. In some cases"," the child and worker may not always move together"," in which case the QAD would be the date that the child joins the worker who has  already moved"," or the date the worker joins the child who has already moved. The QAD is the date the child's eligibility for the Migrant Education Program begins.",YYYY-MM-DD,FALSE,,MigrantStudentQualifyingArrivalDate,,
433,Qualifying Move From City,,The name of the city in which the child resided prior to the qualifying move.,Alphanumeric - 30 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19423,10,19423,,,QualifyingMoveFromCity,,
434,Qualifying Move From Country,,The abbreviation code for a country (other than the US) area in which the child resided prior to the qualifying move.,,TRUE,"The CEDS Country Code option set comes from the &lt;a href=""http://www.iso.org/iso/country_codes.htm""&gt;ISO 3166 standard&lt;/a&gt;"," the short name for Officially assigned codes.   Discontinued codes from the ISO standard are not included in the CEDS list.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19424,10,19424,,QualifyingMoveFromCountry,,
435,Qualifying Move From State,,The postal abbreviation code for a state (within the United States) or outlying area in which the child resided prior to the qualifying move.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19425,10,19425,,,QualifyingMoveFromState,,
436,Designated Graduation School Identifier,,The NCES school identification number that identifies the school or facility from which a student expects to graduate.,Alphanumeric - 40 characters maximum,FALSE,"CEDS ""Identifier"" elements reflect the intent of the XSD:Token format"," i.e. a string in which carriage return"," line feed"," and tab characters have been removed as well as any internal sequences of two or more spaces and any leading or trailing spaces. &lt;br/&gt;&lt;br/&gt;An Identifier MAY be a Universally Unique Identifier (UUID) / Globally Unique Identifier (GUID)"," i.e.128-bit unique identifiers generated according to the algorithms and encoding standards of RFC 4122.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19426,DesignatedGraduationSchoolIdentifier,,
437,Migrant Education Program Enrollment Type,MEP Enrollment Type,The type of school/migrant education project in which instruction and/or support services are provided.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19427,10,19427,,,MigrantEducationProgramEnrollmentType,,
438,Immunization Record Flag,,Indicates whether the school or MEP program has immunization records on file for the student.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19428,10,19428,,,ImmunizationRecordFlag,,
439,Medical Alert Indicator,,Alert indicator for a medical/health condition.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19429,10,19429,,,MedicalAlertIndicator,,
440,Migrant Education Program Project Based,MEP Project Based,Indicates the type of MEP project based on the location where the MEP services are held.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19430,10,19430,,,MigrantEducationProgramProjectBased,,
442,Appealed Adequate Yearly Progress Designation,Appealed AYP Designation,An indication that a school or district appealed its AYP designation.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19432,10,19432,,,AppealedAYPDesignation,,
443,Adequate Yearly Progress Appeal Changed Designation,AYP Appeal Changed Designation,An indication that the appeal resulted in a change in a school or district's AYP designation.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19433,10,19433,,,AYPAppealChangedDesignation,,
444,Adequate Yearly Progress Appeal Process Date,AYP Appeal Process Date,The last date that an appeal of an AYP designation was processed.,YYYY-MM-DD,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19434,10,19434,,,AYPAppealProcessDate,,
445,State Transferability of Funds,,Did the State transfer funds under the State Transferability authority of Section 6123(a),,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19435,10,19435,,,StateTransferabilityOfFunds,,
446,Local Education Agency Transferability of Funds,LEA Transferability of Funds,LEA notified the State that they were transferring funds under the LEA Transferability authority of Section 6123(b).,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19436,10,19436,,,LEATransferabilityOfFunds,,
447,Title III Language Instruction Program Type,,The type of Title III language instructional education programs.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19437,10,19437,,,TitleIIILanguageInstructionProgramType,,
448,Instruction Language,,The language of instruction," other than English"," used in the program or course.",,TRUE,"The CEDS ISO 639-2 Language Code option set comes from the &lt;a href=""http://www.loc.gov/standards/iso639-2/langhome.html""&gt;ISO 639-2 standard&lt;/a&gt;"," the character encoding in ISO 8859-1 download.  Discontinued codes from the ISO standard are not included in the CEDS list.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19438,10,InstructionLanguage,,
449,Barrier to Educating Homeless,,Barriers to the enrollment and success of homeless children and youths.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19439,10,19439,,,BarrierToEducatingHomeless,,
451,Local Education Agency Funds Transfer Type,LEA Funds Transfer Type,An indication of the type of transfer for an LEAs that transferred funds from an eligible program to another eligible program.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19441,10,19441,,,LEAFundsTransferType,,
452,Funds Transfer Amount,,The total amount of FY appropriated funds transferred from and to each eligible program.,Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19442,10,19442,,,FundsTransferAmount,,
453,State Assessment Standards Funding,,The percentage of funds used to pay the costs of the development of the State assessments and standards required by section 1111(b).,Numeric - up to 3 digits before and 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19443,10,19443,,,StateAssessmentStandardsFunding,,
454,State Assessment Administration Funding,,The percentage of funds used to administer assessments required by section 1111(b) or to carry out other activities described in section 6111 and other activities related to ensuring that the State�s schools and local educational agencies are held accountable for results.,Numeric - up to 3 digits before and 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19444,10,19444,,,StateAssessmentAdministrationFunding,,
455,Date State Received Title III Allocation,,Annual date the State receives the Title III allocation from U.S. Department of Education (ED).,YYYY-MM-DD,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19445,10,19445,,,DateStateReceivedTitleIIIAllocation,,
456,Date Title III Funds Available to Subgrantees,,Annual date that Title III funds are available to approved subgrantees.,YYYY-MM-DD,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19446,10,19446,,,DateTitleIIIFundsAvailableToSubgrantees,,
457,Number of Days for Title III Subgrants,,Average number of days for States receiving Title III funds to make subgrants to subgrantees beginning from July 1 of each year," except under conditions where funds are being withheld.",Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19447,10,19447,,NumberOfDaysForTitleIIISubgrants,,
461,Innovative Dollars Spent,,The total Title V," Part A funds expended by LEAs.",Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19451,10,19451,,InnovativeDollarsSpent,,
462,Innovative Dollars Spent on Strategic Priorities,,The total amount of Title V," Part A funds expended by LEAs for the four strategic priorities.",Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19452,10,19452,,InnovativeDollarsSpentOnStrategicPriorities,,
463,Migrant Education Program Project Type,MEP Project Type,Type of project funded in whole or in part by MEP funds.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19453,10,19453,,,MigrantEducationProgramProjectType,,
464,Innovative Programs Funds Received,,The total Title V," Part A funds received by LEAs.",Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19454,10,19454,,InnovativeProgramsFundsReceived,,
466,Literacy Assessment Administered Type,,The type of literacy test administered.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19456,10,19456,,,LiteracyAssessmentAdministeredType,,
467,Literacy Goal Met Status,,"The participant showed ""significant learning gains"" on measures of reading"," the definition of which is determined at the State level.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19457,10,19457,,LiteracyGoalMetStatus,,
468,Literacy Post Test Status,,The participant completed a literacy post-test.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19458,10,19458,,,LiteracyPostTestStatus,,
469,Literacy Pre Test Status,,The participant completed a literacy pre-test.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19459,10,19459,,,LiteracyPreTestStatus,,
470,Number of Immigrant Program Subgrants,,The number of immigrant program [3114(d)(1)] subgrants.,Integer - greater than or equal to 0,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19460,10,19460,,,NumberOfImmigrantProgramSubgrants,,
471,Safe and Drug Free Indicator Name,,The name of the performance indicator for student behaviors under the Safe and Drug-Free Schools and Communities Act.,Alphanumeric - 60 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19461,10,19461,,,SafeAndDrugFreeIndicatorName,,
472,Safe and Drug Free Instrument,,The instrument or data source for reported performance indicator of student behavior under the Safe and Drug-Free Schools and Communities Act.,Alphanumeric - 100 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19462,10,19462,,,SafeAndDrugFreeInstrument,,
473,Safe and Drug Free Collection Frequency,," The frequency of data collection for performance indicator under the Safe and Drug-Free Schools and Communities Act.",Alphanumeric - 60 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19463,10,19463,,,SafeAndDrugFreeCollectionFrequency,,
474,Safe and Drug Free Year Most Recent Collection,,The academic year of the most recent collection of the performance indicator under the Sage and Drug-Free Schools and Communities Act.,Alphanumeric - 20 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19464,10,19464,,,SafeAndDrugFreeYearMostRecentCollection,,
475,Safe and Drug Free Target,,The targeted performance for the given  indicator of student behavior under the Safe and Drug-Free Schools and Communities Act.,Alphanumeric - 20 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19465,10,19465,,,SafeAndDrugFreeTarget,,
476,Safe and Drug Free Performance,,Actual performance for the given  indicator of student behavior under the Safe and Drug-Free Schools and Communities Act,Alphanumeric - 20 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19466,10,19466,,,SafeAndDrugFreePerformance,,
477,Safe and Drug Free Baseline,,The baseline of the performance indicator of student behavior under the Safe and Drug-Free Schools and Communities Act.,Alphanumeric - 60 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19468,10,19468,,,SafeAndDrugFreeBaseline,,
478,Safe and Drug Free Baseline Year,,The academic year the baseline was established.,Alphanumeric - 20 characters maximum,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19469,10,19469,,,SafeAndDrugFreeBaselineYear,,
479,School Improvement Reserved Funds Percentage,,An indication of the percentage of the Title I," Part A allocation that the SEA reserved in accordance with Section 1003(a) of ESEA and �200.100(a) of ED's regulations governing the reservation of funds for school improvement under Section 1003(a) of ESEA.",Numeric - up to 3 digits before and 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19470,10,19470,,SchoolImprovementReservedFundsPercentage,,
480,School Improvement Allocation,,The amount of Section 1003(a) and 1003(g) allocations to LEAs and Schools.,Numeric - up to 2 digits after decimal place,FALSE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19471,10,19471,,,SchoolImprovementAllocation,,
481,School Improvement Exit Date,,Date the school exited school improvement status.,YYYY-MM-DD,FALSE,All CEDS Exit and End Dates represent the last day of the date range specified," such as the last day that a person was enrolled"," participated"," or received services.",https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19472,10,SchoolImprovementExitDate,,
482,Terminated Title III Programs Due to Failure,,An indication of whether a Title III program or activity was terminated due to failure to meet goals.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19473,10,19473,,,TerminatedTitleIIIProgramsDueToFailure,,
484,Neglected or Delinquent Obtained Employment,,An indication that a Neglected or Delinquent student obtained employment.,,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19475,10,19475,,,NeglectedOrDelinquentObtainedEmployment,,
485,Program in Multiple Purpose Facility,,An institution/facility/program that serves more than one programming purpose.  For example," the same facility may run both a juvenile correction program and a juvenile detention program.",,TRUE,,https://ceds.ed.gov/CEDSElementDetails.aspx?TermId=19476,10,19476,,ProgramInMultiplePurposeFacility,,
